Student Name,Registration No,Roll No,Program,Seat Code,Sub Group
Aashish Dangal,REG101,01,CE,Room-101,A
Shreeshant Jha,REG102,02,CE,Room-101,A
Shresh Khanal,REG103,03,CE,Room-101,A
Pratishthit Khaniya,REG104,04,CE,Room-101,A
Nasala Lakhey,REG105,05,CE,Room-101,A
Rohan Sharma,REG106,01,Civil,Room-101,A
Aayush Joshi,REG107,02,Civil,Room-101,A
Anjali Shrestha,REG108,03,Civil,Room-101,A
Sita Thapa,REG109,04,Civil,Room-101,A
Ram Bahadur,REG110,05,Civil,Room-101,A
Aman Jha,REG111,06,CE,Room-101,A
Bipana Sen,REG112,07,CE,Room-101,A
Chitra GC,REG113,08,CE,Room-101,A
Dinesh Poudel,REG114,09,CE,Room-101,A
Elena Maskey,REG115,10,CE,Room-101,A
Gopal Thapa,REG116,06,Civil,Room-101,A
Hemant Roy,REG117,07,Civil,Room-101,A
Indra Jit,REG118,08,Civil,Room-101,A
Jeevan Kumar,REG119,09,Civil,Room-101,A
Kamal Hasan,REG120,10,Civil,Room-101,A
Binod Khadka,REG121,11,CE,Room-101,A
Deepak Raj,REG122,12,CE,Room-101,A
Gita Oli,REG123,13,CE,Room-101,A
Hari Vansa,REG124,14,CE,Room-101,A
Ishwor Karki,REG125,15,CE,Room-101,A
Janak Puri,REG126,11,Civil,Room-101,A
Kiran KC,REG127,12,Civil,Room-101,A
Laxmi Giri,REG128,13,Civil,Room-101,A
Madan Rai,REG129,14,Civil,Room-101,A
Nabin Shah,REG130,15,Civil,Room-101,A
Om Shrestha,REG131,16,CE,Room-101,A
Pooja Magar,REG132,17,CE,Room-101,A
Ramesh Tamang,REG133,18,CE,Room-101,A
Suman Lama,REG134,19,CE,Room-101,A
Tara Acharya,REG135,20,CE,Room-101,A
Lalita Shrestha,REG136,16,Civil,Room-101,A
Mina Kunwar,REG137,17,Civil,Room-101,A
Niranjan Shah,REG138,18,Civil,Room-101,A
Pradip Rimal,REG139,19,Civil,Room-101,A
Ritu Basnet,REG140,20,Civil,Room-101,A
Sanjay Jha,REG141,21,CE,Room-101,A
Tilak Rana,REG142,22,CE,Room-101,A
Umesh Yadav,REG143,23,CE,Room-101,A
Vivek Gupta,REG144,24,CE,Room-101,A
Yubaraj KC,REG145,25,CE,Room-101,A
Zoya Khan,REG146,21,Civil,Room-101,A
Anand Jha,REG147,22,Civil,Room-101,A
Barsha Rana,REG148,23,Civil,Room-101,A
Chetan Yogi,REG149,24,Civil,Room-101,A
Dilip Kumar,REG150,25,Civil,Room-101,A
