name,regNo,rollNo,program,batch,isPhysicallyImpaired
Aashish Dangal,REG101,01,CE,2025,false
Shreeshant Jha,REG102,02,CE,2025,false
Shresh Khanal,REG103,03,CE,2025,false
Pratishthit Khaniya,REG104,04,CE,2025,false
Nasala Lakhey,REG105,05,CE,2025,true
Rohan Sharma,REG106,01,Civil,2025,false
Aayush Joshi,REG107,02,Civil,2025,false
Anjali Shrestha,REG108,03,Civil,2025,false
Sita Thapa,REG109,04,Civil,2025,false
Ram Bahadur,REG110,05,Civil,2025,false
Aman Jha,REG111,06,CE,2025,false
Bipana Sen,REG112,07,CE,2025,false
Chitra GC,REG113,08,CE,2025,true
Dinesh Poudel,REG114,09,CE,2025,false
Elena Maskey,REG115,10,CE,2025,false
Gopal Thapa,REG116,06,Civil,2025,false
Hemant Roy,REG117,07,Civil,2025,false
Indra Jit,REG118,08,Civil,2025,false
Jeevan Kumar,REG119,09,Civil,2025,false
Kamal Hasan,REG120,10,Civil,2025,false
Binod Khadka,REG121,11,CE,2025,false
Deepak Raj,REG122,12,CE,2025,false
Gita Oli,REG123,13,CE,2025,false
Hari Vansa,REG124,14,CE,2025,false
Ishwor Karki,REG125,15,CE,2025,false
Janak Puri,REG126,11,Civil,2025,false
Kiran KC,REG127,12,Civil,2025,false
Laxmi Giri,REG128,13,Civil,2025,false
Madan Rai,REG129,14,Civil,2025,false
Nabin Shah,REG130,15,Civil,2025,false
Om Shrestha,REG131,16,CE,2025,false
Pooja Magar,REG132,17,CE,2025,false
Ramesh Tamang,REG133,18,CE,2025,false
Suman Lama,REG134,19,CE,2025,false
Tara Acharya,REG135,20,CE,2025,false
Lalita Shrestha,REG136,16,Civil,2025,false
Mina Kunwar,REG137,17,Civil,2025,false
Niranjan Shah,REG138,18,Civil,2025,false
Pradip Rimal,REG139,19,Civil,2025,false
Ritu Basnet,REG140,20,Civil,2025,false
Sanjay Jha,REG141,21,CE,2025,false
Tilak Rana,REG142,22,CE,2025,false
Umesh Yadav,REG143,23,CE,2025,false
Vivek Gupta,REG144,24,CE,2025,false
Yubaraj KC,REG145,25,CE,2025,false
Zoya Khan,REG146,21,Civil,2025,false
Anand Jha,REG147,22,Civil,2025,false
Barsha Rana,REG148,23,Civil,2025,false
Chetan Yogi,REG149,24,Civil,2025,false
Dilip Kumar,REG150,25,Civil,2025,false
