SN,Registration_ID,Roll_No,Name,Department,Semester,Program,Subject_Code,Assigned_Invigilators,Seat_Code
1,KU26021,21,"Anjali Yogi",Architecture,Sem 1,BArch,ARCH105,"Chief: Ar. Binita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST1
2,KU26007,7,"Gita Tamang",Chemical Engineering,Sem 2,BE,CHTR107,"Chief: Dr. Sarita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST2
3,KU26037,37,"Ritu Basnet",Architecture,Sem 2,BArch,ARCH105,"Chief: Ar. Binita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST3
4,KU26031,31,"Laxmi Giri",Chemical Engineering,Sem 1,BE,CHTR107,"Chief: Dr. Sarita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST4
5,KU26061,61,"Sabin Karki",Architecture,Sem 1,BArch,ARCH105,"Chief: Ar. Binita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST5
6,KU26047,47,"Sita Aryal",Chemical Engineering,Sem 2,BE,CHTR107,"Chief: Dr. Sarita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST6
7,KU26077,77,"Aasha Thapa",Architecture,Sem 2,BArch,ARCH105,"Chief: Ar. Binita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST7
8,KU26071,71,"Narendra Modi",Chemical Engineering,Sem 1,BE,CHTR107,"Chief: Dr. Sarita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST8
9,KU26087,87,"Pooja Hegde",Chemical Engineering,Sem 2,BE,CHTR107,"Chief: Dr. Sarita + 1 Asst [Total Required for Hall: 10]",MH-A1-ST9
10,KU26002,2,"Bikash Thapa",Civil Engineering,Sem 2,BE,CIEG102,"Chief: Dr. Ram Swarth + 1 Asst [Total Required for Hall: 10]",MH-A1-ST10
11,KU26026,26,"Ganesh Khatri",Civil Engineering,Sem 1,BE,CIEG102,"Chief: Dr. Ram Swarth + 1 Asst [Total Required for Hall: 10]",MH-A1-ST11
12,KU26042,42,"Dilip Kumar",Civil Engineering,Sem 2,BE,CIEG102,"Chief: Dr. Ram Swarth + 1 Asst [Total Required for Hall: 10]",MH-A1-ST12
13,KU26066,66,"Chandan Mahato",Civil Engineering,Sem 1,BE,CIEG102,"Chief: Dr. Ram Swarth + 1 Asst [Total Required for Hall: 10]",MH-A2-ST1
14,KU26082,82,"Kamal Thapa",Civil Engineering,Sem 2,BE,CIEG102,"Chief: Dr. Ram Swarth + 1 Asst [Total Required for Hall: 10]",MH-A2-ST2
15,KU26016,16,"Prakash Khadka",Computer Engineering,Sem 1,BE,CMPE108,"Chief: Er. Niraj + 1 Asst [Total Required for Hall: 10]",MH-A2-ST3
16,KU26032,32,"Madan Rai",Computer Engineering,Sem 2,BE,CMPE108,"Chief: Er. Niraj + 1 Asst [Total Required for Hall: 10]",MH-A2-ST4
17,KU26056,56,"Kshitiz Bhandari",Computer Engineering,Sem 1,BE,CMPE108,"Chief: Er. Niraj + 1 Asst [Total Required for Hall: 10]",MH-A2-ST5
18,KU26072,72,"Pratima Thapa",Computer Engineering,Sem 2,BE,CMPE108,"Chief: Er. Niraj + 1 Asst [Total Required for Hall: 10]",MH-A2-ST6
19,KU26096,96,"Dharendra Yogi",Computer Engineering,Sem 1,BE,CMPE108,"Chief: Er. Niraj + 1 Asst [Total Required for Hall: 10]",MH-A2-ST7
20,KU26011,11,"Kabita Gurung",Electrical Engineering,Sem 1,BE,ELEG103,"Chief: Prof. Upendra + 1 Asst [Total Required for Hall: 10]",MH-A2-ST8
21,KU26027,27,"Hemanta Rana",Electrical Engineering,Sem 2,BE,ELEG103,"Chief: Prof. Upendra + 1 Asst [Total Required for Hall: 10]",MH-A2-ST9
