name,regNo,rollNo,program,batch,isPhysicallyImpaired
Aashish Dangal,BIT2601,001,BIT,I-1,false
Shreeshant Jha,BIT2602,002,BIT,I-1,false
Shresh Khanal,BIT2603,003,BIT,I-1,false
Pratishthit Khaniya,BIT2604,004,BIT,I-1,false
Nasala Lakhey,BIT2605,005,BIT,I-1,true
Rohan Sharma,BIT2606,006,BIT,I-1,false
Aayush Joshi,BIT2607,007,BIT,I-1,false
Anjali Shrestha,BIT2608,008,BIT,I-1,false
Sita Thapa,BIT2609,009,BIT,I-1,false
Ram Bahadur,BIT2610,010,BIT,I-1,false
Aman Jha,BIT2611,011,BIT,I-1,false
Bipana Sen,BIT2612,012,BIT,I-1,false
Chitra GC,BIT2613,013,BIT,I-1,false
Dinesh Poudel,BIT2614,014,BIT,I-1,false
Elena Maskey,BIT2615,015,BIT,I-1,false
Gopal Thapa,BIT2616,016,BIT,I-1,false
Hemant Roy,BIT2617,017,BIT,I-1,false
Indra Jit,BIT2618,018,BIT,I-1,false
Jeevan Kumar,BIT2619,019,BIT,I-1,false
Kamal Hasan,BIT2620,020,BIT,I-1,false
Binod Khadka,BIT2621,021,BIT,I-1,false
Deepak Raj,BIT2622,022,BIT,I-1,false
Gita Oli,BIT2501,001,BIT,II-1,false
Hari Vansa,BIT2502,002,BIT,II-1,false
Ishwor Karki,BIT2503,003,BIT,II-1,false
Janak Puri,BIT2504,004,BIT,II-1,false
Kiran KC,BIT2505,005,BIT,II-1,false
Laxmi Giri,BIT2506,006,BIT,II-1,false
Madan Rai,BIT2507,007,BIT,II-1,false
Nabin Shah,BIT2508,008,BIT,II-1,false
Om Shrestha,BIT2509,009,BIT,II-1,false
Pooja Magar,BIT2510,010,BIT,II-1,false
Ramesh Tamang,BIT2511,011,BIT,II-1,false
Suman Lama,BIT2512,012,BIT,II-1,false
Tara Acharya,BIT2513,013,BIT,II-1,false
Lalita Shrestha,BIT2514,014,BIT,II-1,false
Mina Kunwar,BIT2515,015,BIT,II-1,false
Niranjan Shah,BIT2516,016,BIT,II-1,false
Pradip Rimal,BIT2517,017,BIT,II-1,false
Ritu Basnet,BIT2518,018,BIT,II-1,false
Sanjay Jha,BIT2401,001,BIT,III-1,false
Tilak Rana,BIT2402,002,BIT,III-1,false
Umesh Yadav,BIT2403,003,BIT,III-1,false
Vivek Gupta,BIT2404,004,BIT,III-1,false
Yubaraj KC,BIT2405,005,BIT,III-1,false
Zoya Khan,BIT2406,006,BIT,III-1,false
Anand Jha,BIT2407,007,BIT,III-1,false
Barsha Rana,BIT2408,008,BIT,III-1,false
Chetan Yogi,BIT2409,009,BIT,III-1,false
Dilip Kumar,BIT2410,010,BIT,III-1,false
Ekta Singh,CE2601,101,CE,I-1,false
Faisal Ahmed,CE2602,102,CE,I-1,false
Gaurav Patel,CE2603,103,CE,I-1,false
Harsh Verma,CE2604,104,CE,I-1,false
Ishita Sharma,CE2605,105,CE,I-1,true
Jyoti Kumari,CE2606,106,CE,I-1,false
Kavya Nair,CE2607,107,CE,I-1,false
Lalit Sharma,CE2608,108,CE,I-1,false
Mahesh Kumar,CE2609,109,CE,I-1,false
Nisha Rai,CE2610,110,CE,I-1,false
 Om Prakash,CE2611,111,CE,I-1,false
Priya Singh,CE2612,112,CE,I-1,false
Qureshi Hassan,CE2613,113,CE,I-1,false
