Name,ExamRollNo,RegNo,Program,Semester,Subject
Ram Sharma,CE-2081-001,2081-2-03-001,CE,6,DAA
Sita Thapa,CE-2081-002,2081-2-03-002,CE,6,DAA
Hari Poudel,CE-2081-003,2081-2-03-003,CE,6,DAA
Gita Adhikari,CE-2081-004,2081-2-03-004,CE,6,DAA
Bikash Karki,CE-2081-005,2081-2-03-005,CE,6,DAA
Mina Gurung,CE-2081-006,2081-2-03-006,CE,6,DAA
Rajan Shrestha,CE-2081-007,2081-2-03-007,CE,6,DAA
Sunita Rai,CE-2081-008,2081-2-03-008,CE,6,DAA
Deepak Tamang,CE-2081-009,2081-2-03-009,CE,6,DAA
Anita Magar,CE-2081-010,2081-2-03-010,CE,6,DAA
Sujan Limbu,AI-2081-001,2081-2-04-001,AI,6,DAA
Priya Bhandari,AI-2081-002,2081-2-04-002,AI,6,DAA
Anil Maharjan,AI-2081-003,2081-2-04-003,AI,6,DAA
Nisha Pandey,AI-2081-004,2081-2-04-004,AI,6,DAA
Kiran Basnet,AI-2081-005,2081-2-04-005,AI,6,DAA
Sarita Dahal,AI-2081-006,2081-2-04-006,AI,6,DAA
Ravi Khadka,AI-2081-007,2081-2-04-007,AI,6,DAA
Pooja Koirala,AI-2081-008,2081-2-04-008,AI,6,DAA
Binod Joshi,AI-2081-009,2081-2-04-009,AI,6,DAA
Laxmi Sapkota,AI-2081-010,2081-2-04-010,AI,6,DAA
Prabhat KC,BIT-2081-001,2081-2-05-001,BIT,6,DAA
Shreya Bhatta,BIT-2081-002,2081-2-05-002,BIT,6,DAA
Nabin Ghimire,BIT-2081-003,2081-2-05-003,BIT,6,DAA
Rachana Subedi,BIT-2081-004,2081-2-05-004,BIT,6,DAA
Manish Rijal,BIT-2081-005,2081-2-05-005,BIT,6,DAA
Sabina Chhetri,BIT-2081-006,2081-2-05-006,BIT,6,DAA
Ujjwal Neupane,BIT-2081-007,2081-2-05-007,BIT,6,DAA
Dipika Aryal,BIT-2081-008,2081-2-05-008,BIT,6,DAA
Roshan Lamichhane,BIT-2081-009,2081-2-05-009,BIT,6,DAA
Puja Timilsina,BIT-2081-010,2081-2-05-010,BIT,6,DAA
