name,registrationNo,rollNo,program,department,subject,semester,isPhysicallyImpaired
Aashish Dangal,REG2001,01,BE,DoCSE,COMP 204,3,false
Shreeshant Jha,REG2002,02,BE,DoCSE,COMP 204,3,false
Shresh Khanal,REG2003,03,BE,DoCSE,COMP 204,3,false
Pratishthit Khaniya,REG2004,04,BE,DoCSE,COMP 204,3,false
Nasala Lakhey,REG2005,05,BE,DoCSE,COMP 204,3,true
Sita Thapa,REG2006,06,BE,DoCSE,COMP 204,3,false
Ram Bahadur,REG2007,07,BE,DoCSE,COMP 204,3,false
Aman Jha,REG2008,08,BE,DoCSE,COMP 204,3,false
Bipana Sen,REG2009,09,BE,DoCSE,COMP 204,3,false
Chitra GC,REG2010,10,BE,DoCSE,COMP 204,3,true
Dinesh Poudel,REG2011,11,BE,DoCSE,COMP 207,3,false
Elena Maskey,REG2012,12,BE,DoCSE,COMP 207,3,false
Gopal Thapa,REG2013,13,BE,DoCSE,COMP 207,3,false
Binod Khadka,REG2014,14,BE,DoCSE,COMP 207,3,false
Deepak Raj,REG2015,15,BE,DoCSE,COMP 207,3,false
Rohan Sharma,REG2101,01,BE,DoCE,CENG 201,3,false
Aayush Joshi,REG2102,02,BE,DoCE,CENG 201,3,false
Anjali Shrestha,REG2103,03,BE,DoCE,CENG 201,3,false
Hemant Roy,REG2104,04,BE,DoCE,CENG 201,3,false
Indra Jit,REG2105,05,BE,DoCE,CENG 201,3,false
Jeevan Kumar,REG2106,06,BE,DoCE,CENG 201,3,false
Kamal Hasan,REG2107,07,BE,DoCE,CENG 201,3,false
Janak Puri,REG2108,08,BE,DoCE,CENG 201,3,false
Kiran KC,REG2109,09,BE,DoCE,CENG 201,3,false
Laxmi Giri,REG2110,10,BE,DoCE,CENG 201,3,false
Madan Rai,REG2201,01,BE,DoME,MEEG 204,3,false
Nabin Shah,REG2202,02,BE,DoME,MEEG 204,3,false
Lalita Shrestha,REG2203,03,BE,DoME,MEEG 204,3,false
Mina Kunwar,REG2204,04,BE,DoME,MEEG 204,3,false
Niranjan Shah,REG2205,05,BE,DoME,MEEG 204,3,false
Pradip Rimal,REG2206,06,BE,DoME,MEEG 204,3,false
Ritu Basnet,REG2207,07,BE,DoME,MEEG 204,3,false
Zoya Khan,REG2208,08,BE,DoME,MEEG 204,3,false
Anand Jha,REG2209,09,BE,DoME,MEEG 204,3,false
Barsha Rana,REG2210,10,BE,DoME,MEEG 204,3,false
Chetan Yogi,REG2301,01,BArch,DoArch,ARCH 201,3,false
Dilip Kumar,REG2302,02,BArch,DoArch,ARCH 201,3,false
Hari Vansa,REG2303,03,BArch,DoArch,ARCH 201,3,false
Ishwor Karki,REG2304,04,BArch,DoArch,ARCH 201,3,false
Gita Oli,REG2305,05,BArch,DoArch,ARCH 201,3,false
Om Shrestha,REG2306,06,BArch,DoArch,ARCH 201,3,false
Pooja Magar,REG2307,07,BArch,DoArch,ARCH 201,3,false
Ramesh Tamang,REG2308,08,BArch,DoArch,ARCH 201,3,false
Suman Lama,REG2309,09,BArch,DoArch,ARCH 201,3,false
Tara Acharya,REG2310,10,BArch,DoArch,ARCH 201,3,false
Sanjay Jha,REG2401,01,BE,DoEE,ELEG 201,3,false
Tilak Rana,REG2402,02,BE,DoEE,ELEG 201,3,false
Umesh Yadav,REG2403,03,BE,DoEE,ELEG 201,3,false
Vivek Gupta,REG2404,04,BE,DoEE,ELEG 201,3,false
Yubaraj KC,REG2405,05,BE,DoEE,ELEG 201,3,false
