name,registrationNo,rollNo,program,section,department,subject,semester,isPhysicallyImpaired
Rajeev Oli,024A001-24,BCE-A-01,BCE,A,Computer Engineering,COMP204,4,false
Aarav Raut,024A002-24,BCE-A-02,BCE,A,Computer Engineering,COMP204,4,false
Simran Timilsina,024A003-24,BCE-A-03,BCE,A,Computer Engineering,COMP204,4,false
Vipin Poudel,024A004-24,BCE-A-04,BCE,A,Computer Engineering,COMP204,4,false
Diksha Karmacharya,024A005-24,BCE-A-05,BCE,A,Computer Engineering,COMP204,4,false
Santosh Adhikari,024A006-24,BCE-A-06,BCE,A,Computer Engineering,COMP204,4,false
Aryan Pande,024A007-24,BCE-A-07,BCE,A,Computer Engineering,COMP204,4,false
Pradeep Rajbanshi,024A008-24,BCE-A-08,BCE,A,Computer Engineering,COMP204,4,false
Pooja Timilsina,024A009-24,BCE-A-09,BCE,A,Computer Engineering,COMP204,4,false
Siddharth Ranjitkar,024A010-24,BCE-A-10,BCE,A,Computer Engineering,COMP204,4,false
Mohit Rajbanshi,024A011-24,BCE-A-11,BCE,A,Computer Engineering,COMP204,4,false
Manjula Thapa,024A012-24,BCE-A-12,BCE,A,Computer Engineering,COMP204,4,false
Rajesh Yadav,024A013-24,BCE-A-13,BCE,A,Computer Engineering,COMP204,4,false
Niraj Malla,024A014-24,BCE-A-14,BCE,A,Computer Engineering,COMP204,4,false
Kishan Bhandari,024A015-24,BCE-A-15,BCE,A,Computer Engineering,COMP204,4,false
Santosh Singh,024A016-24,BCE-A-16,BCE,A,Computer Engineering,COMP204,4,false
Roshan Aryal,024A017-24,BCE-A-17,BCE,A,Computer Engineering,COMP204,4,false
Ramesh Kunwar,024A018-24,BCE-A-18,BCE,A,Computer Engineering,COMP204,4,false
Rajeev Bhandari,024A019-24,BCE-A-19,BCE,A,Computer Engineering,COMP204,4,false
Manish Pant,024A020-24,BCE-A-20,BCE,A,Computer Engineering,COMP204,4,false
Kavya Dhungana,024A021-24,BCE-A-21,BCE,A,Computer Engineering,COMP204,4,false
Yash Malla,024A022-24,BCE-A-22,BCE,A,Computer Engineering,COMP204,4,false
Sunil Oli,024A023-24,BCE-A-23,BCE,A,Computer Engineering,COMP204,4,false
Dinesh Prajapati,024A024-24,BCE-A-24,BCE,A,Computer Engineering,COMP204,4,false
Varun Baral,024A025-24,BCE-A-25,BCE,A,Computer Engineering,COMP204,4,false
Harsh Budhathoki,024A026-24,BCE-A-26,BCE,A,Computer Engineering,COMP204,4,false
Prem Acharya,024A027-24,BCE-A-27,BCE,A,Computer Engineering,COMP204,4,false
Bhumika Malla,024A028-24,BCE-A-28,BCE,A,Computer Engineering,COMP204,4,false
Puneet Tuladhar,024A029-24,BCE-A-29,BCE,A,Computer Engineering,COMP204,4,false
Sandeep Pradhan,024A030-24,BCE-A-30,BCE,A,Computer Engineering,COMP204,4,false
Rahul Shah,024A031-24,BCE-A-31,BCE,A,Computer Engineering,COMP204,4,false
Rajat Sharma,024A032-24,BCE-A-32,BCE,A,Computer Engineering,COMP204,4,false
Kamal Maharjan,024A033-24,BCE-A-33,BCE,A,Computer Engineering,COMP204,4,false
Sunita Singh,024A034-24,BCE-A-34,BCE,A,Computer Engineering,COMP204,4,false
Nidhi Banskota,024A035-24,BCE-A-35,BCE,A,Computer Engineering,COMP204,4,false
Abhinav Baral,024A036-24,BCE-A-36,BCE,A,Computer Engineering,COMP204,4,false
